SITE_ID,SITE_NAME,URL,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,Latitude,Longitude,Elevation,IGBP,MAT,MAP
BE-Vie,Vielsalm,http://sites.fluxdata.org/BE-Vie/,"Tier1,",Tier1: 1996,Tier1: 2014,50.3051,5.9981,493,MF,7.8,1062
,,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
BR-Sa1,Santarem-Km67-Primary Forest,http://sites.fluxdata.org/BR-Sa1/,Tier2,Tier2: 2002,Tier2: 2011,-2.8567,-54.9589,88,EBF,26.13,2075
BR-Sa3,Santarem-Km83-Logged Forest,http://sites.fluxdata.org/BR-Sa3/,"Tier1,",Tier1: 2000,Tier1: 2004,-3.018,-54.9714,100,EBF,26.12,2044
,,,Tier2,Tier2: 2000,Tier2: 2004,,,,,,
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",http://sites.fluxdata.org/CA-Gro/,Tier2,Tier2: 2003,Tier2: 2014,48.2167,-82.1556,340,MF,1.3,831
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),http://sites.fluxdata.org/CA-Man/,"Tier1,",Tier1: 1994,Tier1: 2008,55.8796,-98.4808,259,ENF,-3.2,520
,,,Tier2,Tier2: 1994,Tier2: 2008,,,,,,
CA-NS1,UCI-1850 burn site,http://sites.fluxdata.org/CA-NS1/,"Tier1,",Tier1: 2001,Tier1: 2005,55.8792,-98.4839,260,ENF,-2.89,500
,,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-NS2,UCI-1930 burn site,http://sites.fluxdata.org/CA-NS2/,"Tier1,",Tier1: 2001,Tier1: 2005,55.9058,-98.5247,260,ENF,-2.88,500
,,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-NS3,UCI-1964 burn site,http://sites.fluxdata.org/CA-NS3/,"Tier1,",Tier1: 2001,Tier1: 2005,55.9117,-98.3822,260,ENF,-2.87,502
,,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-NS4,UCI-1964 burn site wet,http://sites.fluxdata.org/CA-NS4/,"Tier1,",Tier1: 2002,Tier1: 2005,55.9144,-98.3806,260,ENF,-2.87,502
,,,Tier2,Tier2: 2002,Tier2: 2005,,,,,,
CA-NS5,UCI-1981 burn site,http://sites.fluxdata.org/CA-NS5/,"Tier1,",Tier1: 2001,Tier1: 2005,55.8631,-98.485,260,ENF,-2.86,500
,,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-NS6,UCI-1989 burn site,http://sites.fluxdata.org/CA-NS6/,"Tier1,",Tier1: 2001,Tier1: 2005,55.9167,-98.9644,244,OSH,-3.08,495
,,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-NS7,UCI-1998 burn site,http://sites.fluxdata.org/CA-NS7/,"Tier1,",Tier1: 2002,Tier1: 2005,56.6358,-99.9483,297,OSH,-3.52,483
,,,Tier2,Tier2: 2002,Tier2: 2005,,,,,,
CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",http://sites.fluxdata.org/CA-Oas/,Tier2,Tier2: 1996,Tier2: 2010,53.6289,-106.1978,530,DBF,0.34,429
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",http://sites.fluxdata.org/CA-Obs/,Tier2,Tier2: 1997,Tier2: 2010,53.9872,-105.1178,628.94,ENF,0.79,406
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",http://sites.fluxdata.org/CA-Qfo/,"Tier1,",Tier1: 2003,Tier1: 2010,49.6925,-74.3421,382,ENF,-0.36,962
,,,Tier2,Tier2: 2003,Tier2: 2010,,,,,,
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",http://sites.fluxdata.org/CA-SF1/,"Tier1,",Tier1: 2003,Tier1: 2006,54.485,-105.8176,536,ENF,0.4,470
,,,Tier2,Tier2: 2003,Tier2: 2006,,,,,,
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",http://sites.fluxdata.org/CA-SF2/,"Tier1,",Tier1: 2001,Tier1: 2005,54.2539,-105.8775,520,ENF,0.4,470
,,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",http://sites.fluxdata.org/CA-SF3/,"Tier1,",Tier1: 2001,Tier1: 2006,54.0916,-106.0053,540,OSH,0.4,470
,,,Tier2,Tier2: 2001,Tier2: 2006,,,,,,
