Code,URL,Name,Country,Latitude,Longitude,Cooperating Agency
PSA,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=PSA,"Palmer Station, Antarctica",United States,-64.92,-64,National Science Foundation
RPB,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=RPB,Ragged Point,Barbados,13.165,-59.432,Private Party
SCT,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=SCT,"Beech Island, South Carolina",United States,33.406,-81.833,"Savannah River National Laboratory, DOE; Savannah River National Laboratory and University of Georgia"
SEY,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=SEY,Mahe Island,Seychelles,-4.682,55.532,Seychelles Bureau of Standards
SGP,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=SGP,"Southern Great Plains, Oklahoma",United States,36.607,-97.489,Lawrence Berkeley National Laboratory
SHM,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=SHM,"Shemya Island, Alaska",United States,52.711,174.126,Chugach McKinley
SMO,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=SMO,Tutuila,American Samoa,-14.247,-170.564,"NOAA Earth System Research Laboratory, Global Monitoring Division"
SPO,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=SPO,"South Pole, Antarctica",United States,-89.98,-24.8,National Science Foundation
STR,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=STR,"Sutro Tower, San Francisco, California",United States,37.755,-122.452,Lawrence Berkeley National Laboratory
SUM,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=SUM,Summit,Greenland,72.596,-38.422,National Science Foundation Office of Polar Programs
SYO,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=SYO,"Syowa Station, Antarctica",Japan,-69.013,39.59,National Institute of Polar Research
TAP,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=TAP,Tae-ahn Peninsula,Republic of Korea,36.738,126.133,Korea Centre for Atmospheric Environment Research
TIK,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=TIK,Hydrometeorological Observatory of Tiksi,Russia,71.597,128.889,
TMD,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=TMD,"Thurmont, Maryland",United States,39.577,-77.488,
USH,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=USH,Ushuaia,Argentina,-54.848,-68.311,Servicio Meteorologico Nacional
UTA,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=UTA,"Wendover, Utah",United States,39.902,-113.718,Beth Anderson/ NWS Cooperative Observer
UUM,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=UUM,Ulaan Uul,Mongolia,44.452,111.096,Mongolian Hydrometeorological Research Institute
WBI,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=WBI,"West Branch, Iowa",United States,41.725,-91.353,"M & M Aviation Services, Ltd.; University of Iowa"
WGC,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=WGC,"Walnut Grove, California",United States,38.265,-121.491,Lawrence Berkeley National Laboratory; DOE Environmental Energy Technologies Division at Lawrence Berkeley National Laboratory; KalScott Engineering
WIS,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=WIS,"Weizmann Institute of Science at the Arava Institute, Ketura",Israel,29.965,35.06,Weizmann Institute of Science and Arava Institute for Environmental Studies
WKT,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=WKT,"Moody, Texas",United States,31.315,-97.327,Blackland Research and Extension Center-Texas Agricultural Experiment Station; Pinnacle Towers Inc.
WLG,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=WLG,Mt. Waliguan,Peoples Republic of China,36.288,100.896,"Chinese Academy of Meteorological Sciences (CAMS) and Qinghai Meteorological Bureau (QMB), China Meteorological Administration (CMA)"
ZEP,https://www.esrl.noaa.gov/gmd/dv/site/site.php?code=ZEP,"Ny-Alesund, Svalbard",Norway and Sweden,78.907,11.888,Zeppelin Station/University of Stockholm Meteorological Institute
