Country,Station,Latitude,Longitude
France,JCOMMOPS FR-VOS-BATFR10-15092006,37.89,23.5
Netherlands,JCOMMOPS NL-VOS-PDWZ-01012000,39.29,0.2
Germany,JCOMMOPS DE-VOS-ZDNC5-03022011,21.89,-17.2
United States (the),JCOMMOPS US-VOS-9HA3344-28082015,36.39,-10.1
Germany,JCOMMOPS DE-VOS-DGHB-04091998,29.39,48
Netherlands,JCOMMOPS NL-VOS-OXHY2-01112008,19.19,39.3
France,JCOMMOPS FR-VOS-BATFR55-01101999,-16.3,53.9
Netherlands,JCOMMOPS NL-VOS-PBSY-29012010,-31.6,15.7
United States (the),JCOMMOPS US-VOS-PBKH-01092004,34.7,-10
Germany,JCOMMOPS DE-VOS-A8ME6-26022009,37.29,12.6
United Kingdom (the),JCOMMOPS GB-VOS-MRAB8-01091993,0,0
United States (the),JCOMMOPS US-VOS-VRZZ2-01062008,22.39,-18
(unknown),JCOMMOPS ZY-VOS-3EOS7-04022012,0,0
"Hong Kong, China",JCOMMOPS HK-VOS-VRKC2-13072012,31.89,-10
Russian Federation,JCOMMOPS RU-VOS-UBAU-01012000,18.6,-16.4
Germany,JCOMMOPS DE-VOS-ELVZ7-30071998,-14.5,56.9
Germany,JCOMMOPS DE-VOS-A8AC4-20082004,37.6,-13.8
United Kingdom (the),JCOMMOPS GB-VOS-A8LK3-23102007,14.19,42.1
United Kingdom (the),JCOMMOPS GB-VOS-MGRX9-01012010,21.89,61.3
Sweden,JCOMMOPS SE-VOS-SLKU-22072011,35.2,19
Australia,JCOMMOPS HKME201,37.36,-9.717
United States (the),JCOMMOPS US-VOS-WHIA-01032004,31.8,31.5
India,JCOMMOPS IN-VOS-AUBC-01012000,25.19,56.5
Germany,JCOMMOPS DE-VOS-D5HQ4-11122014,-4.1,5
Germany,JCOMMOPS DE-VOS-LXCP-21112013,33.39,-9.1
South Africa,JCOMMOPS ZA-VOS-ZSNO-23042015,-33.8,18.4
Germany,JCOMMOPS DE-VOS-DCQP2-02072013,11.9,45.1
United Kingdom (the),JCOMMOPS GB-VOS-ZCDW9-17042000,-19,57.2
Germany,JCOMMOPS DE-VOS-A8HN5-04102007,37.2,3
Japan,JCOMMOPS JP-VOS-7JTW-01012000,-6.1,60.3
Netherlands,JCOMMOPS NL-VOS-PDYV-01012000,5.5,0
United States (the),JCOMMOPS US-VOS-WOSI-20122012,31.3,-24.9
Germany,JCOMMOPS DE-VOS-A8IH6-31012006,34.79,34.2
United States (the),JCOMMOPS US-VOS-HPOW-02022011,37.79,5.6
United States (the),JCOMMOPS US-VOS-VCTD-04072015,0,0
Germany,JCOMMOPS DE-VOS-A8IE8-05102006,37.5,-9.7
France,JCOMMOPS FR-VOS-BATFR04-01012000,-25.1,14.2
United States (the),JCOMMOPS US-VOS-WDE8264-29052009,34.5,24.2
(unknown),JCOMMOPS ZY-VOS-UFT0-01102012,0,0
United Kingdom (the),JCOMMOPS GB-VOS-OXVA2-21112007,37.7,9.6
France,JCOMMOPS FR-VOS-BATFR46-16092010,37.1,-1.1
United States (the),JCOMMOPS US-VOS-V7DI7-01022004,36.29,14.9
Germany,JCOMMOPS DE-VOS-A8ZE4-14072011,27.3,34.3
United Kingdom (the),JCOMMOPS GB-VOS-AMOUK15-30081990,-15.9,-5.7
United States (the),JCOMMOPS US-VOS-V7PR8-05042012,36.39,-13
United Kingdom (the),JCOMMOPS GB-VOS-ZCDN9-08082001,37.7,-9.5
Germany,JCOMMOPS DE-VOS-A8CE9-07082002,27.69,51.1
Germany,JCOMMOPS DE-VOS-DFVY2-11112008,38.7,8.6
United Kingdom (the),JCOMMOPS GB-VOS-GFMJ-02121985,0,0
(unknown),JCOMMOPS ASES01,25.68,-16.252
United Kingdom (the),JCOMMOPS GB-VOS-2FGX5-28082013,26.8,-16.5
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK57-27112012,37.5,5.4
Netherlands,JCOMMOPS NL-VOS-PCSV-01012000,36.29,-8.5
United States (the),JCOMMOPS US-VOS-V7EP2-08012014,34.79,-7.3
United States (the),JCOMMOPS US-VOS-C6XE5-01102008,37,11.9
Germany,JCOMMOPS DE-VOS-D5GN6-28102014,-29.5,-14.4
Germany,JCOMMOPS DE-VOS-DPCK-04052002,37.79,4.5
United Kingdom (the),JCOMMOPS GB-VOS-DRMX-25101988,24.8,-23.7
United Kingdom (the),JCOMMOPS GB-VOS-LAIP5-09091998,-15,1
United States (the),JCOMMOPS US-VOS-VRJI2-04062012,-27.6,7.4
(unknown),JCOMMOPS EU-VOS-BAREU62-23092011,36.5,23.41
France,JCOMMOPS FR-VOS-BATFR08-01031997,-31.1,35.1
Germany,JCOMMOPS DE-VOS-CQEB-13092001,26.6,34.8
Germany,JCOMMOPS DE-VOS-A8VB9-01082013,37,23.9
Germany,JCOMMOPS DE-VOS-A8OH7-17062010,25.1,54.8
Israel,JCOMMOPS IL-VOS-A8IZ2-30102006,39.1,25.7
Japan,JCOMMOPS JP-VOS-3EUI3-01012000,37.7,8.1
Netherlands,JCOMMOPS NL-VOS-PJRH-01012000,34,-16.8
Netherlands,JCOMMOPS NL-VOS-PCGM-01012000,36.89,2.1
United Kingdom (the),JCOMMOPS GB-VOS-AMOHK01-15022014,37.29,5.5
United States (the),JCOMMOPS US-VOS-ONGA-24052011,25.89,52.2
Russian Federation,JCOMMOPS RU-VOS-UCKZ-01012000,-33.7,16.5
Germany,JCOMMOPS DE-VOS-LXSR-15082007,-28.3,5.6
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK50-22112010,25.39,56.8
Germany,JCOMMOPS DE-VOS-DIGX2-09022015,26,35.1
Netherlands,JCOMMOPS NL-VOS-PHAM-01012000,36.2,-3.2
United Kingdom (the),JCOMMOPS GB-VOS-MKHA7-18051989,0,0
Germany,JCOMMOPS DE-VOS-A8VD9-25032009,36.5,14
Germany,JCOMMOPS DE-VOS-D5BO9-13072009,12.1,44.5
Netherlands,JCOMMOPS NL-VOS-PCAM-01012000,31.3,-18.6
France,JCOMMOPS FR-VOS-BATFR28-22122006,-31.8,15.7
Germany,JCOMMOPS DE-VOS-9HFA5-15082006,-33.1,3.6
New Zealand,JCOMMOPS NZ-VOS-YJZC5-01012001,0,0
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK54-10082012,25,57.2
Germany,JCOMMOPS DE-VOS-A8SE3-10012012,34.7,21.3
Germany,JCOMMOPS DE-VOS-ELZY4-23041998,5.1,3.8
Netherlands,JCOMMOPS NL-VOS-PJHA-01012000,3.9,-2.4
Netherlands,JCOMMOPS NL-VOS-PCDE-01012000,26.6,53.4
Japan,JCOMMOPS JP-VOS-H9LL-01012000,-35.2,-19.1
United States (the),JCOMMOPS US-VOS-VRDA4-16042009,-32.2,2.5
Japan,JCOMMOPS JP-VOS-H3YE-01012000,13.3,57.9
Germany,JCOMMOPS DE-VOS-A8LL9-11072007,24.6,58.2
Germany,JCOMMOPS DE-VOS-CQGZ-02062003,36.2,18.3
(unknown),JCOMMOPS ZY-VOS-ZCDQ5-04052008,0,0
United Kingdom (the),JCOMMOPS GB-VOS-ZQYC3-22022001,0,0
United States (the),JCOMMOPS US-VOS-3EYJ5-03022014,-33,28.1
United States (the),JCOMMOPS US-VOS-WZZF-18022009,14.8,53.6
United States (the),JCOMMOPS US-VOS-IBNY-01012008,25.19,54.3
United Kingdom (the),JCOMMOPS GB-VOS-MZER8-04102000,22.3,38.1
United States (the),JCOMMOPS US-VOS-9VMJ4-20082012,36.5,-10
United Kingdom (the),JCOMMOPS GB-VOS-MMHE5-30081990,-19.3,-1.4
United States (the),JCOMMOPS US-VOS-C6YM7-22102015,0,0
Germany,JCOMMOPS DE-VOS-A8CH9-21112001,36.1,-4.8
Netherlands,JCOMMOPS NL-VOS-PDHP-01012000,36.5,-1.1
United Kingdom (the),JCOMMOPS GB-VOS-9V9778-11022016,16.5,-21.3
France,JCOMMOPS FR-VOS-BATFR45-14052002,11.8,55
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK33-21102004,-0.9,-0.6
United States (the),JCOMMOPS US-VOS-C6OB-11012007,16.8,-20
United Kingdom (the),JCOMMOPS GB-VOS-2HHG5-10032015,36.29,-6.3
United States (the),JCOMMOPS US-VOS-9VAH9-03022014,38.29,0.1
Russian Federation,JCOMMOPS RU-VOS-UBVF4-01012000,33.1,24.3
Germany,JCOMMOPS DE-VOS-A8IL9-11122006,20.6,59.6
Netherlands,JCOMMOPS NL-VOS-PGQI-01012000,35.2,-11.7
Germany,JCOMMOPS DE-VOS-A8VL7-27082010,37.29,11.3
Germany,JCOMMOPS DE-VOS-LXCQ-21112013,22.1,-23
Netherlands,JCOMMOPS NL-VOS-PDWT-01012000,31,-14.8
United States (the),JCOMMOPS US-VOS-V7CY9-01062002,25.8,35.6
United States (the),JCOMMOPS US-VOS-C6FZ6-01082006,-35,-3
United States (the),JCOMMOPS US-VOS-VRBU6-01012007,-31.6,36
(unknown),JCOMMOPS ZY-VOS-A8OY7-07042008,26,35.3
Germany,JCOMMOPS DE-VOS-A8RV7-26102009,36.1,-6.3
Germany,JCOMMOPS DE-VOS-9HCX7-12022010,35.39,22.8
Germany,JCOMMOPS DE-VOS-DAQZ-28112001,36.79,-14.9
United States (the),JCOMMOPS US-VOS-A8MY4-01082012,13.19,42.8
United Kingdom (the),JCOMMOPS GB-VOS-MXXG8-29061998,0,0
Germany,JCOMMOPS DE-VOS-D5ET2-09102000,19.8,-20
Germany,JCOMMOPS DE-VOS-DDZD2-08052006,17.89,40.1
United States (the),JCOMMOPS US-VOS-C6TZ9-12122006,23.8,58.4
Germany,JCOMMOPS DE-VOS-A8CN9-21022002,36.1,-8.2
(unknown),JCOMMOPS ZY-VOS-ZCDQ4-03082008,0,0
United States (the),JCOMMOPS US-VOS-A8PQ4-23072009,29.39,48.2
Russian Federation,JCOMMOPS RU-VOS-UCTS-01012000,12.6,-17.2
Germany,JCOMMOPS DE-VOS-A8LN2-09042008,39.39,23.4
Japan,JCOMMOPS JP-VOS-9HA3054-01012000,36,-4.9
Russian Federation,JCOMMOPS RU-VOS-UDYG-01012000,18,-16.6
United States (the),JCOMMOPS US-VOS-V7HP4-29042011,37.29,5.9
New Zealand,JCOMMOPS NZ-VOS-N8Z002-10042014,0,0
United States (the),JCOMMOPS US-VOS-D5DS2-10022015,29.39,-17.1
Russian Federation,JCOMMOPS RU-VOS-UBXS-01012000,18.1,-16.4
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK55-17092012,-21.8,11.6
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK63-20102012,24.39,58
Germany,JCOMMOPS DE-VOS-PBEO-09031994,40,5.8
Germany,JCOMMOPS DE-VOS-A8HR7-19122005,31.19,29.7
(unknown),JCOMMOPS ZY-VOS-3EXI5-24042012,39.2,-21.9
Germany,JCOMMOPS DE-VOS-A8CS3-05112004,-33,29.6
United States (the),JCOMMOPS US-VOS-WADP-01052001,17.19,39.8
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK32-13042005,1.4,3.8
(unknown),JCOMMOPS EU-VOS-BAREU74-03052014,36.79,34.6
United Kingdom (the),JCOMMOPS GB-VOS-D5DK8-24102005,-31.6,11.5
Germany,JCOMMOPS DE-VOS-A8NO8-22012009,38.39,6
Germany,JCOMMOPS DE-VOS-A8XA3-22121998,36.2,-10.5
Germany,JCOMMOPS DE-VOS-A8KJ4-11021998,14.3,-17.8
Germany,JCOMMOPS DE-VOS-A8RW2-20092010,4.1,-8.6
Germany,JCOMMOPS DE-VOS-A8CJ2-18072003,3.9,-3.4
United States (the),JCOMMOPS US-VOS-WUW2120-01051992,0,0
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK77-26032015,25.6,35.4
United States (the),JCOMMOPS US-VOS-ONDY-01072008,-16.6,53.5
Germany,JCOMMOPS DE-VOS-A8SZ3-14072010,-18.1,63.6
Germany,JCOMMOPS DE-VOS-D5DJ7-06041999,28.69,-12.8
Germany,JCOMMOPS DE-VOS-ZDNC4-09022013,36,15.1
United States (the),JCOMMOPS US-VOS-VREF5-27092013,6,1.2
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK69-07112013,-29.6,31.1
Germany,JCOMMOPS DE-VOS-DDZB2-14092005,35.89,15.9
(unknown),JCOMMOPS ZY-VOS-9HA3250-17012013,0,0
United States (the),JCOMMOPS US-VOS-ONBG-10092014,34.39,31.9
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK72-10032015,25.89,51.7
India,JCOMMOPS IN-VOS-VTXT-01012000,21,63.2
United Kingdom (the),JCOMMOPS GB-VOS-C6CU6-11101995,38.7,-13.6
Germany,JCOMMOPS DE-VOS-A8FB9-19062000,15.69,56.4
Germany,JCOMMOPS DE-VOS-DARU-17102002,38.1,0
France,JCOMMOPS FR-VOS-FZYB-13012016,0,0
United Kingdom (the),JCOMMOPS GB-VOS-MMER9-03042006,34.1,30.5
United States (the),JCOMMOPS US-VOS-OUUY2-10072012,36.2,-2.6
Germany,JCOMMOPS DE-VOS-DGZN-24091998,7.5,-13.5
Germany,JCOMMOPS DE-VOS-D5AH2-21022005,26.39,34.8
United States (the),JCOMMOPS US-VOS-WKAB-01112006,26.3,56.7
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK73-10032015,32.7,29.5
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK67-28092013,37.6,8.6
Germany,JCOMMOPS DE-VOS-ZDNA2-22022001,-16.6,63.4
United Kingdom (the),JCOMMOPS GB-VOS-OXVD2-19102007,36.1,-7.6
United States (the),JCOMMOPS US-VOS-WDG5660-07122012,29.3,47.9
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK74-23012015,29.69,32.6
United States (the),JCOMMOPS US-VOS-KAXO-01111997,12.19,43.6
Germany,JCOMMOPS DE-VOS-A8GU4-24072005,17.8,60.1
Germany,JCOMMOPS DE-VOS-A8FZ6-20062006,32.89,-22.7
Germany,JCOMMOPS DE-VOS-DFCW2-22052007,32.79,28.1
Germany,JCOMMOPS DE-VOS-LXEP-26052000,36.79,2
Germany,JCOMMOPS DE-VOS-ELYR2-23101996,36.29,13.2
Netherlands,JCOMMOPS NL-VOS-PCAW-01012000,31.89,31.4
Germany,JCOMMOPS DE-VOS-A8CB9-02082001,-27.1,43.4
United Kingdom (the),JCOMMOPS GB-VOS-9HA2950-18042010,31,-10
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK59-22082012,25.19,56.5
Norway,JCOMMOPS NO-VOS-LGWS-01012008,4.2,0.6
United Kingdom (the),JCOMMOPS GB-VOS-MNAN4-09052006,-34.2,25.4
Germany,JCOMMOPS DE-VOS-A8CH2-24042007,29.39,-27.1
Germany,JCOMMOPS DE-VOS-A8UC6-09042013,-32.7,30.5
Germany,JCOMMOPS DE-VOS-A8IP9-20111997,8.4,-15
Germany,JCOMMOPS DE-VOS-DJDS2-25042014,31.8,31.6
Germany,JCOMMOPS DE-VOS-ZDKV8-16032000,-22.6,13.2
United States (the),JCOMMOPS US-VOS-VRCQ2-01072007,26.39,-27.9
United States (the),JCOMMOPS US-VOS-PBAD-06122005,23,59.4
Germany,JCOMMOPS DE-VOS-DDZG2-20012006,31.69,31.2
Germany,JCOMMOPS DE-VOS-A8IT6-21032006,0.3,9.4
Germany,JCOMMOPS DE-VOS-A8GH5-20121999,21.19,59.7
Germany,JCOMMOPS DE-VOS-9HA3488-12072006,20.8,38.5
United States (the),JCOMMOPS US-VOS-V7AP5-08092015,35.2,-18.6
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK80-21082015,25.6,56.6
United Kingdom (the),JCOMMOPS GB-VOS-TBWUK66-20092013,14.1,42.3
United Kingdom (the),JCOMMOPS GB-VOS-VRGJ6-15061998,24.39,58.2
Germany,JCOMMOPS DE-VOS-ELXA3-25042007,35.29,23.2
Germany,JCOMMOPS DE-VOS-CQHF-25042001,36.7,23.9
Germany,JCOMMOPS DE-VOS-LXYO-22022005,37.39,37.5
Netherlands,JCOMMOPS NL-VOS-PHAA-01012000,39.89,18.9
United States (the),JCOMMOPS US-VOS-VRXO6-01042007,-31.6,-1.4
Germany,JCOMMOPS DE-VOS-DCPY2-05022004,-23.3,52
United Kingdom (the),JCOMMOPS GB-VOS-ZQDI9-02082000,13.8,42.4
Netherlands,JCOMMOPS NL-VOS-PFDH-01012000,-18.3,60.6
United Kingdom (the),JCOMMOPS GB-VOS-OZDB2-13052006,38.29,24.9
United Kingdom (the),JCOMMOPS GB-VOS-ZCDT2-06042008,34.1,-15.5
New Zealand,JCOMMOPS NZ-VOS-3FZR7-21052012,0,0
