Country,Station,Latitude,Longitude
Germany,JCOMMOPS DE-VOS-DNDD-28052005,-28.3,36
Netherlands,JCOMMOPS NL-VOS-9V2005-01072007,-25.8,47.4
United Kingdom (the),JCOMMOPS GB-VOS-2BKQ8-12042011,17.3,-18.2
United States (the),JCOMMOPS US-VOS-WMCU-22082013,14,42.3
Germany,JCOMMOPS DE-VOS-LXAU-11012001,38.29,-9.1
Germany,JCOMMOPS DE-VOS-A8TG2-14102009,12.9,48.5
Germany,JCOMMOPS DE-VOS-DACG-21112013,39,-13.5
"Hong Kong, China",JCOMMOPS HK-VOS-VRZK9-08072004,30.3,32.4
United Kingdom (the),JCOMMOPS GB-VOS-VRJC9-28082012,-35.7,7.4
Germany,JCOMMOPS DE-VOS-A8VF7-28012005,22.8,-17
United Kingdom (the),JCOMMOPS GB-VOS-ZCDH7-07071996,39,-26.1
France,JCOMMOPS FR-VOS-BATFR33-01052002,39.79,4.4
United Kingdom (the),JCOMMOPS GB-VOS-VRLA2-27072011,4.9,-4.4
United States (the),JCOMMOPS US-VOS-WMMK-16082013,27.39,34.2
Germany,JCOMMOPS DE-VOS-9HOY7-20032006,-28.6,13
Australia,JCOMMOPS AU-VOS-VRDR2-24022016,0,0
Germany,JCOMMOPS DE-VOS-DFDF2-05082014,-25.8,45
(unknown),JCOMMOPS ZY-VOS-HOAQ-15122012,0,0
United Kingdom (the),JCOMMOPS GB-VOS-VRJH7-26062012,-32.2,-17.3
Poland,JCOMMOPS PL-VOS-SQLZ-09071982,37.39,-0.7
United States (the),JCOMMOPS US-VOS-OXBA2-01052008,36.5,-10.6
