GRDC station number,WMO region,WMO subregion,nat_id,river,station,country,Latitude,Longitude,catchment size km2,height of gauge zero m above sea level,GRDC station number of next downstream GRDC station ,daily data available from year,daily data available until year,length of time series daily data,percentage of missing values (daily data),monthly data available from ,monthly data available until ,"length of time series, monthly data",percentage of missing values (monthly data),earliest data available,latest data available,"maximum length of time series, daily and monthly data","mean annual streamflow, m3/s","mean annual volume, km3","mean annual runoff depth, mm"
6421500,6,21,n.a.,MEUSE,BORGHAREN,NL,50.87,5.72,21301,40,6421102,1911,2013,103,2.91,1911,1990,80,0,1911,2013,103,242.132,7.635874752,358.4749426
6603300,6,3,203040,LOWER BANN,MOVANAGHER,GB,54.977,-6.5471,5209.8,7,-,1980,2015,36,0,,,,,1980,2015,36,92.716,2.923891776,561.2291789
6604201,6,4,84005,CLYDE (SCOTLAND),BLAIRSTONE,GB,55.7973,-4.0683,1704.2,17.6,6604200,1958,2015,58,0,,,,,1958,2015,58,43.818,1.381844448,810.8464077
6604610,6,4,15006,TAY,BALLATHIE,GB,56.5144,-3.387,4587.1,26.2,-,1952,2015,64,0,1980,1997,18,55.56,1952,2015,64,171.587,5.411167632,1179.648936
6604750,6,4,21009,TWEED (SCOTLAND),NORHAM,GB,55.7227,-2.1634,4390,4.3,-,1962,2015,54,0,1980,1984,5,0,1962,2015,54,81.482,2.569616352,585.334021
6605600,6,5,28009,TRENT (N. ENGLAND),COLWICK,GB,52.9534,-1.0785,7486,16,-,1958,2015,58,0,1965,1984,20,37.5,1958,2015,58,84.59,2.66763024,356.3492172
6607650,6,7,39001,THAMES,KINGSTON,GB,51.4154,-0.3077,9948,4.7,-,1883,2015,133,0,1883,1993,111,0,1883,2015,133,65.801,2.075100336,208.5947262
6608501,6,8,55023,WYE (WALES),REDBROOK,GB,51.7963,-2.6863,4010,9.2,-,1936,2014,79,0,,,,,1936,2014,79,72.955,2.30070888,573.7428628
6730501,6,30,234.18.0.1001.1,"TANA (NO, FI)",POLMAK NYE,NO,70.0703,28.0162,14161.4,20,6730500,1911,2014,104,1.37,,,,,1911,2014,104,168.483,5.313279888,375.194535
6731260,6,31,21.11.0.1001.1,OTRA,HEISEL,NO,58.2476,7.9514,3689,8,-,1930,2015,86,0.08,,,,,1930,2015,86,147.264,4.644117504,1258.909597
6731310,6,31,001200068000,DRAMSELV,DOVIKFOSS,NO,59.8805,9.908,16120,35,6731311,1912,2014,103,0,1912,1974,63,0,1912,2014,103,306.827,9.676096272,600.2541112
6731402,6,31,2.122.0.1001.1,GLAMA,SKARNES,NO,60.2543,11.6775,20300,129.4,6731403,1887,2014,128,39.54,,,,,1887,2014,128,303.935,9.58489416,472.1622739
6731403,6,31,2.605.0.1001.0,GLAMA,SOLBERGFOSS,NO,59.6373,11.1535,40540,101,6731400,1901,2013,113,0.02,,,,,1901,2013,113,690.624,21.77951846,537.2352853
6731450,6,31,2.145.0.1001.1,LOSNA,LOSNA,NO,61.3334,10.2775,11210,180,6731400,1896,2014,119,0,,,,,1896,2014,119,246.34,7.76857824,693.0043033
6731501,6,31,122.9.0.1001.1,GAULA,GAULFOSS,NO,63.1085,10.229,3079,45,-,1958,2015,58,19.09,,,,,1958,2015,58,82.754,2.609730144,847.5901734
6731920,6,31,212.11.0.1001.1,ALTAELVA,KISTA,NO,69.8263,23.5168,6187,43,-,1971,2015,45,0,,,,,1971,2015,45,76.773,2.421113328,391.3226649
6742900,6,42,42057,DANUBE RIVER,CEATAL IZMAIL,RO,45.2167,28.7167,807000,0.6,-,1931,2010,80,2.52,1921,2002,82,0,1921,2010,90,6529.795,205.9236151,255.171766
6854101,6,54,3510450,KOKEMAENJOKI,HARJAVALTA,FI,61.3375,22.1142,26117,28,-,1931,2015,85,0,1931,2001,71,0,1931,2015,85,219.224,6.913448064,264.7106507
6854500,6,54,5904450,OULUJOKI,MERISKOSKI (NEAR THE MOUTH),FI,65.0226,25.4734,22841,7,-,1950,2015,66,0,1950,2001,52,0,1950,2015,66,259.565,8.18564184,358.3749328
6854600,6,54,6101950,IIJOKI,RAASAKKA (NEAR THE MOUTH),FI,65.3349,25.4113,14191,19,-,1911,2015,105,0,1911,2001,91,0,1911,2015,105,172.483,5.439423888,383.3009575
6854700,6,54,6504450,KEMIJOKI,ISOHAARA (NEAR THE MOUTH),FI,65.7927,24.5453,50683,2,-,1949,2015,67,0.01,1911,2001,91,0,1911,2015,105,564.71,17.80869456,351.3741207
6855200,6,55,1410050,KYMIJOKI,ANJALA,FI,60.6984,26.8175,36275,24,-,1938,2015,78,0.05,1938,2001,64,0,1938,2015,78,282.289,8.902265904,245.4105005
6855400,6,55,0411450,VUOKSI,"VUOSKI, TAINIONKOSKI",FI,61.2107,28.7839,61061,70,-,1960,2015,56,0,,,,,1960,2015,56,598.982,18.88949635,309.3545201
6970250,6,70,70801,SEVERNAYA DVINA (NORTHERN DVINA),UST'-PINEGA,RU,64.15,41.9167,348000,2,-,1883,2010,128,53.04,1881,2014,134,10.75,1881,2014,134,3236.883,102.0783423,293.3285698
6970500,6,70,70844,MEZEN,MALONISOGORSKAYA,RU,65.0333,45.6167,56400,18.6,-,1920,2010,91,1.56,1920,2014,95,15.99,1920,2014,95,649.94,20.49650784,363.4132596
6970700,6,70,70827,PECHORA,OKSINO,RU,67.6,52.2,312000,-999,-,1980,2010,31,3.27,1916,2014,99,53.86,1916,2014,99,4834.483,152.4602559,488.6546663
6971130,6,71,71060,TULOMA,VERKHNE-TULOMSKIY GES,RU,68.6069,31.7975,17500,-999,-,1935,2011,77,2.69,1934,2015,82,25.97,1934,2015,82,193.903,6.114925008,349.4242862
6971600,6,71,n.a.,VARZUGA,VARZUGA,RU,66.4,36.6167,7940,8.1,-,1979,2011,33,3.03,1935,1992,58,0.29,1935,2011,77,91.75,2.893428,364.4115869
6972430,6,72,n.a.,NEVA,NOVOSARATOVKA,RU,59.8372,30.5294,281000,-999,-,1945,2011,67,0,1859,1985,127,1.25,1859,2011,153,2444.36,77.08533696,274.3250426
6972860,6,72,n.a.,KOVDA,KNYAZHEGUBSKOYE GES,RU,66.77,32.34,25900,-999,-,1957,2006,50,26,1956,1988,33,0,1956,2006,51,273.971,8.639949456,333.5887821
6977100,6,77,n.a.,VOLGA,VOLGOGRAD POWER PLANT,RU,48.8047,44.5858,1360000,-999,-,1962,2010,49,2.04,1879,1984,106,17.92,1879,2010,132,7827.676,246.8535903,181.5099929
6978250,6,78,n.a.,DON,RAZDORSKAYA,RU,47.5408,40.6472,378000,58,-,1952,2010,59,3.4,1881,1984,104,3.45,1881,2010,130,681.961,21.5063221,56.895032
6981800,6,81,n.a.,DNIESTR,TIGHINA (BENDERY),MD,46.8306,29.4711,66100,2,-,1945,1984,40,0,1881,1985,105,46.67,1881,1985,105,318.601,10.04740114,152.0030429
