GRDC station number,WMO region,WMO subregion,nat_id,river,station,country,Latitude,Longitude,catchment size km2,height of gauge zero m above sea level,GRDC station number of next downstream GRDC station ,daily data available from year,daily data available until year,length of time series daily data,percentage of missing values (daily data),monthly data available from ,monthly data available until ,"length of time series, monthly data",percentage of missing values (monthly data),earliest data available,latest data available,"maximum length of time series, daily and monthly data","mean annual streamflow, m3/s","mean annual volume, km3","mean annual runoff depth, mm"
3653400,3,53,87040000,RIO JACUI,PASSO DO RASO,BR,-29.9667,-51.45,71454,-999,-,1972,1977,6,0,1972,1977,6,0,1972,1977,6,1593.941,50.26652338,703.4808881
3843100,3,43,H011,MIRA,LITA,EC,0.8492,-78.4636,4960,475,-,1963,2005,43,31.41,1966,1988,23,15.22,1963,2005,43,144.027,4.542035472,915.7329581
3843500,3,43,H023,AMBI,D.J.CARIYACU,EC,0.3758,-78.2117,686,2015,3843100,1963,1996,34,4.09,1969,1994,26,10.58,1963,1996,34,4.617,0.145601712,212.2473936
3844100,3,44,H168,ESMERALDAS,D.J.SADE,EC,0.5233,-79.4153,18800,50,-,1965,2005,41,26.97,1982,1991,10,55.46,1965,2005,41,906.109,28.57505342,1519.94965
3844150,3,44,H143,GRANOBLES,A.J.GUACHALA,EC,0.0258,-78.1667,416,2750,3844100,1962,2005,44,16.51,1969,1994,26,5.45,1962,2005,44,4.899,0.154494864,371.3818846
3844200,3,44,H161,TOACHI,A.J.PILATON,EC,-0.3156,-78.9514,1435,820,3844100,1964,2005,42,21.02,1969,1993,25,22.22,1964,2005,42,44.361,1.398968496,974.890938
3844300,3,44,H347,QUEVEDO,QUEVEDO,EC,-1.0181,-79.4619,3507,125,3844450,1962,2005,44,13.69,1966,1994,29,14.37,1962,2005,44,227.582,7.177025952,2046.485872
3844400,3,44,H365,DAULE,LA CAPILLA,EC,-1.6958,-79.9956,8690,13,-,1970,2005,36,11.23,1976,1994,19,11.84,1970,2005,36,286.667,9.040330512,1040.314213
3844450,3,44,H348,VINCES,VINCES-DCP,EC,-1.5492,-79.7506,4400,41,-,1964,2005,42,14.42,1966,1994,29,14.94,1964,2005,42,227.796,7.183774656,1632.676058
3844460,3,44,H345,ZAPOTAL,CATARAMA,EC,-1.5708,-79.4822,3720,40,-,1982,2001,20,23.82,1982,1994,13,3.9,1982,2001,20,172.234,5.431571424,1460.099845
3844465,3,44,H346,ZAPOTAL,LECHUGAL,EC,-1.3875,-79.3542,2980,180,3844460,1974,2005,32,32.61,1965,1994,30,9.72,1965,2005,41,140.292,4.424248512,1484.647152
3844800,3,44,H529,JUBONES,D.J.SAN FRANCISCO,EC,-3.3053,-79.505,3320,680,-,1970,2005,36,36.47,1969,1994,26,30.45,1969,2005,37,46.078,1.453115808,437.6854843
3846500,3,46,H586,CALERA,A.J.AMARILLO,EC,-3.6778,-79.6436,252,680,-,1969,1988,20,26.12,1969,1988,20,8.4,1969,1988,20,9.59,0.30243024,1200.12
3846510,3,46,H587,PINDO,A.J. AMARILLO,EC,-3.7619,-79.635,543,563,-,1982,2005,24,18.54,,,,,1982,2005,24,23.676,0.746646336,1375.039293
3948600,3,48,n.a.,HUAURA,SAYAN,PE,-11.13,-77.2,-9,-999,-,,,,,1911,1968,58,0.59,1911,1968,58,27.229,0.858693744,n.a.
3948900,3,48,n.a.,MAJES,HUATIAPA,PE,-15.97,-72.47,-999,-999,-,,,,,1965,1968,4,0,1965,1968,4,55.564,1.752266304,n.a.
4101200,4,1,15747000,WULIK RIVER,"BELOW TUTAK CREEK NEAR KIVALINA, AK",US,67.8754,-163.6774,1825.9,53.34,-,1984,2017,34,0,,,,,1984,2017,34,27.689,0.873200304,478.2300805
4102100,4,2,15304000,KUSKOKWIM RIVER,"CROOKED CREEK, ALAS.",US,61.8704,-158.1032,80549,60.96,-,1951,2016,66,0,1951,2001,51,1.99,1951,2016,66,1204.46,37.98385056,471.5620375
4102310,4,2,15284000,MATANUSKA RIVER,"PALMER, AK",US,61.6086,-149.073,5361.3,52.1,-,1949,2016,68,0,,,,,1949,2016,68,92.734,2.924459424,545.4758033
4102450,4,2,15292700,TALKEETNA RIVER,"NEAR TALKEETNA, ALAS.",US,62.3464,-150.0192,5169.6,121.92,4102810,1964,2017,54,0,1964,2001,38,0,1964,2017,54,114.435,3.60882216,698.085376
4102852,4,2,15266110,KENAI RIVER,"BELOW SKILAK LAKE OUTLET, AK",US,60.4661,-150.6011,3123.5,73.15,4102851,1997,2017,21,0,,,,,1997,2017,21,153.085,4.82768856,1545.602228
4103200,4,3,15565447,YUKON RIVER,"PILOT STATION, AK",US,61.9337,-162.8829,831390,6.1,-,1975,2017,43,0,1975,2001,27,17.31,1975,2017,43,6741.588,212.6027192,255.7196011
4115201,4,15,14246900,COLUMBIA RIVER,"BEAVER ARMY TERMINAL NEAR QUINCY, OR",US,46.1815,-123.184,665371,-999,-,1968,2016,49,0.01,,,,,1968,2016,49,7316.542,230.7344685,346.7756613
4127800,4,27,07289000,MISSISSIPPI RIVER,"VICKSBURG, MS",US,32.315,-90.9058,2964255,14.09,4127930,1931,2017,87,1.35,1928,1983,56,63.23,1928,2017,90,17440.128,549.9918766,185.5413507
4127941,4,27,07378500,AMITE RIVER,"NEAR DENHAM SPRINGS, LA",US,30.4641,-90.9904,3315.2,-999,-,1938,2016,79,0.01,1938,2000,63,0,1938,2016,79,59.182,1.866363552,562.9716313
4145081,4,45,12194000,SKAGIT RIVER,"NEAR CONCRETE, WA",US,48.5243,-121.771,7088.8,39.62,4145080,1924,2017,94,0,,,,,1924,2017,94,427.161,13.4709493,1900.314481
4145180,4,45,12101500,PUYALLUP RIVER,"PUYALLUP, WA",US,47.2084,-122.3271,2455.3,-999,-,1914,2016,103,0,,,,,1914,2016,103,94.354,2.975547744,1211.887649
4145190,4,45,12150800,SNOHOMISH RIVER,"NEAR MONROE, WA",US,47.8309,-122.0485,3980.8,4.04,-,1963,2017,55,0,,,,,1963,2017,55,271.282,8.555149152,2149.102982
4145700,4,45,14321000,UMPQUA RIVER,"NEAR ELKTON, OR",US,43.586,-123.5554,9539,27.56,-,1905,2016,112,0,1965,1984,20,0,1905,2016,112,207.807,6.553401552,687.0113798
4145900,4,45,14372300,ROGUE RIVER,"NEAR AGNESS, OREG.",US,42.5804,-124.0595,10202,34.69,-,1960,2016,57,0,1965,1984,20,0,1960,2016,57,161.67,5.09842512,499.7476103
4146100,4,46,11532500,SMITH RIVER,"NEAR CRESCENT CITY, CA",US,41.7915,-124.0762,1590.3,24.16,-,1931,2016,86,0,,,,,1931,2016,86,105.54,3.32830944,2092.881494
4146110,4,46,11530500,KLAMATH RIVER,"NEAR KLAMATH, CA",US,41.5143,-124.0004,31339,-999,-,1910,2017,108,0,1910,1984,75,32.32,1910,2017,108,381.305,12.02483448,383.7019203
4146180,4,46,11477000,EEL RIVER (CALIF.),"SCOTIA, CALIF.",US,40.4915,-124.0998,8062.7,10.82,-,1910,2016,107,0,1965,1984,20,0,1910,2016,107,201.22,6.34567392,787.0408077
4146360,4,46,11303500,SAN JOAQUIN RIVER,"NEAR VERNALIS, CA",US,37.676,-121.2663,35058.2,7.62,-,1923,2016,94,0,1965,1984,20,0,1923,2016,94,116.766,3.682332576,105.0348442
4146400,4,46,11152500,SALINAS RIVER,"NEAR SPRECKELS, CA",US,36.6311,-121.6724,10764,6.27,-,1929,2016,88,0.08,,,,,1929,2016,88,11.093,0.349828848,32.49989298
4147380,4,47,01100000,MERRIMACK RIVER,"BELOW CONCORD RIVER AT LOWELL, MA",US,42.6459,-71.2984,12004.7,1.58,-,1923,2016,94,0,1965,1984,20,0,1923,2016,94,224.258,7.072200288,589.1192856
4147460,4,47,01184000,CONNECTICUT RIVER,"THOMPSONVILLE, CT",US,41.9873,-72.6054,25019.4,11.73,-,1928,2016,89,0,1928,1984,57,0,1928,2016,89,487.838,15.38445917,614.9012034
4147600,4,47,01463500,DELAWARE RIVER,"TRENTON, N.J.",US,40.2217,-74.7781,17560.2,-999,-,1912,2017,106,0,1912,1984,73,0,1912,2017,106,337.562,10.64535523,606.2206143
4147703,4,47,01578310,SUSQUEHANNA RIVER,"CONOWINGO, MD",US,39.6573,-76.175,70189,1.52,-,1967,2017,51,0,,,,,1967,2017,51,1149.042,36.23618851,516.2659179
4147950,4,47,01668000,RAPPAHANNOCK RIVER,"NEAR FREDERICKSBURG, VA",US,38.3085,-77.5292,4133.6,-999,-,1907,2016,110,0,,,,,1907,2016,110,47.703,1.504361808,363.9350223
4148050,4,48,02037500,JAMES RIVER,"NEAR RICHMOND, VA.",US,37.5632,-77.5469,17503.2,30.12,-,1934,2017,84,0,1965,1984,20,0,1934,2017,84,197.024,6.213348864,354.9835952
4148090,4,48,02080500,ROANOKE RIVER,"ROANOKE RAPIDS, N.C.",US,36.4605,-77.6345,21714.6,13.36,-,1912,2016,105,0,1965,1984,20,0,1912,2016,105,227.736,7.181882496,330.7398016
4148121,4,48,02089500,NEUSE RIVER,"KINSTON, NC",US,35.2582,-77.5855,6972.3,3.32,4148120,1930,2017,88,0,,,,,1930,2017,88,79.478,2.506418208,359.4822667
4148232,4,48,02105769,CAPE FEAR RIVER,"LOCK #1 NEAR KELLY, NC",US,34.4043,-78.2936,13610.5,-0.88,-,1969,2016,48,0.01,,,,,1969,2016,48,149.777,4.723367472,347.0384976
4148300,4,48,02131000,PEE DEE RIVER,"PEEDEE, S.C.",US,34.2043,-79.5484,22869.7,7.54,-,1938,2017,80,0,1938,1984,47,0,1938,2017,80,266.97,8.41916592,368.1362641
4148570,4,48,02175000,EDISTO RIVER,"NEAR GIVHANS, SC",US,33.0279,-80.3915,7070.7,6.24,-,1939,2017,79,0,,,,,1939,2017,79,69.008,2.176236288,307.7822971
4148650,4,48,02198500,SAVANNAH RIVER,"NEAR CLYO, GA.",US,32.5282,-81.2687,25511.5,4.08,-,1929,2017,89,0,1929,1984,56,7.27,1929,2017,89,307.859,9.708641424,380.5594114
4148720,4,48,02226000,ALTAMAHA RIVER,"DOCTORTOWN, GA.",US,31.6547,-81.8279,35224,7.46,-,1931,2017,87,0,1931,1984,54,0,1931,2017,87,372.462,11.74596163,333.4647295
4149120,4,49,02489500,PEARL RIVER,"NEAR BOGALUSA, LA.",US,30.7932,-89.8209,17024.1,16.76,-,1938,2017,80,0,1938,1984,47,2.16,1938,2017,80,282.919,8.922133584,524.0884149
4149300,4,49,02479000,PASCAGOULA RIVER,"MERRILL, MISS.",US,30.9778,-88.7244,17068.1,8,4149301,1930,2016,87,0,1930,1984,55,0,1930,2016,87,279.245,8.80627032,515.9490699
4149401,4,49,02428400,ALABAMA RIVER,CLAIRBORNE L+D NEAR MONROEVILLE,US,31.6115,-87.553,55615.1,-999,4149400,1975,2016,42,0,,,,,1975,2016,42,860.673,27.14218373,488.0362299
4149413,4,49,02469761,TOMBIGBEE RIVER,"COFFEEVILLE L+D NEAR COFFEEVILLE, AL",US,31.7585,-88.1292,47700,-999,-,1960,2016,57,0,,,,,1960,2016,57,830.311,26.1846877,548.9452347
4149632,4,49,02359170,APALACHICOLA RIVER,"NEAR SUMATRA, FLA",US,29.9494,-85.0155,49728,-999,-,1977,2016,40,0,,,,,1977,2016,40,640.9,20.2114224,406.4394788
4149781,4,49,02323000,SUWANNEE RIVER,"NEAR BELL, FLA",US,29.7913,-82.9243,24320.1,1.09,-,1932,2017,86,0,,,,,1932,2017,86,154.593,4.875244848,200.4615461
4150283,4,50,08211500,NUECES RIVER,"CALALLEN, TX",US,27.8831,-97.6253,43822.8,0.26,-,1989,2017,29,0,,,,,1989,2017,29,10.939,0.344972304,7.871982256
4150330,4,50,08188500,SAN ANTONIO RIVER,"GOLIARD, TX",US,28.6497,-97.3847,10155.4,27.76,-,1924,2017,94,0,,,,,1924,2017,94,21.445,0.67628952,66.59408
4150450,4,50,08162000,COLORADO RIVER (CARIBBEAN SEA),"WHARTON, TEX.",US,29.3091,-96.1038,108788,15.98,-,1938,2017,80,0,1965,1984,20,0.42,1938,2017,80,75.243,2.372863248,21.81181057
4150500,4,50,08114000,BRAZOS RIVER,"RICHMOND, TEX.",US,29.5825,-95.7577,116827.1,8.52,-,1903,2016,114,0,1965,1984,20,0,1903,2016,114,196.571,6.199063056,53.06185856
4150600,4,50,08066500,TRINITY RIVER (TEXAS),"ROMAYOR, TEX.",US,30.4252,-94.8508,44511.7,7.9,4150601,1924,2017,94,0,1965,1984,20,0,1924,2017,94,226.089,7.129942704,160.1813165
4150700,4,50,08030500,SABINE RIVER,"NEAR RULIFF, TEX.",US,30.3038,-93.7438,24162.1,-1.8,-,1924,2016,93,0,1965,1984,20,0,1924,2016,93,231.708,7.307143488,302.4217054
4152050,4,52,09521100,COLORADO RIVER (PACIFIC OCEAN),"BELOW YUMA MAIN CANAL WW AT YUMA,AZ",US,32.7317,-114.6319,618715,31.09,4352100,1963,2017,55,0,,,,,1963,2017,55,57.714,1.820068704,2.941691577
4202601,4,2,08BB005,TAKU RIVER,NEAR JUNEAU,CA,58.5386,-133.7,17700,-999,n.a.,1988,2013,26,0,1987,1994,8,80.9,1987,2013,27,392.81,12.38765616,699.8675797
4204900,4,4,15024800,STIKINE RIVER,NEAR WRANGELL,CA,56.7077,-132.132,51592.8,7.62,-,1976,2016,41,1.03,,,,,1976,2016,41,1588.316,50.08913338,970.8551072
4206100,4,6,08DB001,NASS RIVER,ABOVE SHUMAL CREEK,CA,55.2639,-129.0861,19200,65,n.a.,1929,2013,85,0,1929,1996,68,17.04,1929,2013,85,841.007,26.52199675,1381.353998
4206250,4,6,08EF001,SKEENA RIVER,USK,CA,54.6306,-128.432,42200,100,4206210,1928,2013,86,0,1928,1996,69,8.99,1928,2013,86,863.051,27.21717634,644.9567852
4208025,4,8,10LC014,MACKENZIE RIVER,ARCTIC RED RIVER,CA,67.4583,-133.7447,1660000,-999,n.a.,1972,2015,44,0,1972,1996,25,0,1972,2015,44,9264.428,292.1630014,176.0018081
4208040,4,8,10MC002,PEEL RIVER (TRIB. MACKENZIE),ABOVE FORT MCPHERSON,CA,67.2489,-134.8831,70600,-999,n.a.,1969,2015,47,0,1969,1993,25,9.28,1969,2015,47,654.484,20.63980742,292.3485471
4208065,4,8,10LA002,ARCTIC RED RIVER,NEAR THE MOUTH,CA,66.79,-133.0817,18600,-999,4208025,1968,2015,48,0,1968,1993,26,5.92,1968,2015,48,158.714,5.005204704,269.0970271
4209150,4,9,10NC001,ANDERSON RIVER,BELOW CARNWATH RIVER,CA,68.6322,-128.4133,56300,-999,n.a.,1969,2015,47,0,1969,1993,25,0,1969,2015,47,176.749,5.573956464,99.00455531
4209401,4,9,10PC004,COPPERMINE RIVER,ABOVE COPPER CREEK,CA,67.2289,-115.8869,46800,-999,4209402,1987,2015,29,0,1987,1993,7,0,1987,2015,29,250.695,7.90591752,168.9298615
4209600,4,9,10QD001,ELLICE RIVER,NEAR THE MOUTH,CA,67.7083,-104.1403,16900,-999,n.a.,1971,2015,45,0,1971,1996,26,0,1971,2015,45,86.204,2.718529344,160.8597245
4209805,4,9,10RC001,BACK RIVER,ABOVE HERMANN RIVER,CA,66.0861,-96.5111,93900,-999,4209800,1965,2015,51,0,1993,1993,1,0,1965,2015,51,461.969,14.56865438,155.1507389
4214025,4,14,04AB001,HAYES RIVER (TRIB. HUDSON BAY),BELOW GODS RIVER,CA,56.4319,-92.7886,103000,-999,-,1973,2016,44,0,1974,1993,20,10.83,1973,2016,44,605.959,19.10952302,185.5293498
4214035,4,14,03KC004,RIVIERE AUX MELEZES,PRES DE LA RIVIERE KOKSOAK,CA,57.67,-69.62,42700,27,-,1962,2013,52,0,1962,1995,34,4.79,1962,2013,52,516.058,16.27440509,381.1336086
4214040,4,14,03LF002,CANIAPISCAU,CHUTE DE LA PYRITE,CA,57.43,-69.25,86800,67,-,1954,2013,60,0,1962,1995,34,0,1954,2013,60,954.158,30.09032669,346.6627499
4214051,4,14,06MA006,THELON RIVER,BELOW OUTLET OF SCHULTZ LAKE,CA,64.7786,-97.0536,152000,-999,4214060,1983,2015,33,0,,,,,1983,2015,33,902.852,28.47234067,187.3180307
4214070,4,14,06HB002,THLEWIAZA RIVER,ABOVE OUTLET SEALHOLE LAKE,CA,60.7858,-98.7769,27000,-999,n.a.,1978,2015,38,0,1978,1993,16,8.85,1978,2015,38,213.878,6.744856608,249.809504
4214080,4,14,04FC001,ATTAWAPISKAT RIVER,BELOW MUKETEI RIVER,CA,53.0917,-85.0083,36000,-999,-,1968,2016,49,0,1968,1993,26,0,1968,2016,49,343.603,10.83586421,300.996228
4214090,4,14,06LC001,KAZAN RIVER,ABOVE KAZAN FALLS,CA,63.6525,-95.8519,72300,80,n.a.,1965,2015,51,0,1965,1996,32,4.77,1965,2015,51,450.481,14.20636882,196.4919615
4214105,4,14,06GD001,SEAL RIVER,BELOW GREAT ISLAND,CA,58.8917,-96.2753,48100,-999,-,1955,2016,62,0,1955,1993,39,1.71,1955,2016,62,357.226,11.26547914,234.2095455
4214270,4,14,06FD001,CHURCHILL RIVER,ABOVE RED HEAD RAPIDS,CA,58.1208,-94.625,287000,-999,-,1971,2016,46,0,1972,1993,22,18.18,1971,2016,46,475.944,15.00936998,52.29745639
4214450,4,14,04DC001,WINISK RIVER,BELOW ASHEWEIG RIVER TRIBUTARY,CA,54.5167,-87.2333,50000,100,-,1965,2015,51,0,1965,1995,31,6.5,1965,2015,51,419.974,13.24430006,264.8860013
4214520,4,14,04HA001,ALBANY RIVER,NEAR HAT ISLAND,CA,51.3306,-83.8389,118000,67,-,1964,2016,53,0,1964,1995,32,5.21,1964,2016,53,987.554,31.14350294,263.9279911
4214551,4,14,04LG004,MOOSE RIVER (TRIB. HUDSON BAY),ABOVE MOOSE RIVER,CA,50.7433,-81.4583,60100,-999,4214550,1983,2015,33,0,1959,1996,38,0,1959,2015,57,654.983,20.65554389,343.6862544
4214610,4,14,04NA001,HARRICANAW RIVER,AMOS,CA,48.6006,-78.1094,3680,305,-,1933,2013,81,0,1933,1995,63,0,1933,2013,81,59.276,1.869327936,507.9695478
4214621,4,14,03AC004,BELL RIVER (TRIB. HUDSON BAY),EN AMONT DU LAC MATAGAMI,CA,49.7531,-77.6144,22200,-999,-,1962,2013,52,0,,,,,1962,2013,52,389.212,12.27418963,552.8914249
4214655,4,14,03AB002,WASWANIPI RIVER,A LA CHUTE ROUGE,CA,49.8575,-77.1872,31900,-999,-,1966,2013,48,0,,,,,1966,2013,48,591.142,18.64225411,584.3966806
4214670,4,14,03BD002,BROADBACK RIVER,A LA SORTIE DU LAC QUENONISCA,CA,50.7458,-76.3878,9820,-999,-,1972,2005,34,0,,,,,1972,2005,34,179.494,5.660522784,576.4279821
4214680,4,14,03BC002,RUPERT RIVER,EN AVAL DU LAC NEMISCAU,CA,51.4486,-76.8664,40900,211,-,1963,2001,39,0,1963,1995,33,0.78,1963,2001,39,841.853,26.54867621,649.1118877
4214801,4,14,03ED001,"BALEINE, GRANDE RIVIERE DE LA",EN AMONT DE LA RIVIERE DENYS-1,CA,55.2375,-76.9839,36300,-999,4214800,1961,2013,53,0,,,,,1961,2013,53,563.566,17.77261738,489.6037845
4214900,4,14,03MB002,"BALEINE, GRANDE RIVIERE DE LA",PRES DE L'EMBOUCHURE-1,CA,57.8833,-67.5833,29800,26,-,1956,2013,58,0,1962,1995,34,0,1956,2013,58,444.35,14.0130216,470.2356242
4231602,4,31,01AF002,SAINT JOHN RIVER,GRAND FALLS,CA,47.0389,-67.7397,21900,-999,4231601,1930,2015,86,0,,,,,1930,2015,86,420.738,13.26839357,605.86272
4243151,4,43,02OA016,ST. LAWRENCE RIVER,LASALLE,CA,45.415,-73.6236,-999,-999,-,1955,2016,62,0,,,,,1955,2016,62,8452.701,266.5643787,n.a.
4243240,4,43,02OJ007,RICHELIEU (RIVIERE),RAPIDES FRYERS,CA,45.3983,-73.2589,22000,-999,-,1937,2016,80,0,,,,,1937,2016,80,358.802,11.31517987,514.3263578
4243800,4,43,02UC002,MOISIE (RIVIERE),ABOVE QNSLR BRIDGE,CA,50.3503,-66.1903,19000,17,-,1965,2013,49,0,1965,1995,31,2.76,1965,2013,49,408.204,12.87312134,677.5327023
4244500,4,44,03OE001,"CHURCHILL, FLEUVE (LABRADOR)",ABOVE UPPER MUSKRAT FALLS,CA,53.2478,-60.7892,92500,16,-,1948,2015,68,0,1948,1996,49,12.56,1948,2015,68,1740.336,54.8832361,593.3322821
4244635,4,44,02WB003,NATASHQUAN (RIVIERE),EN AVAL DE LA DECHARGE DU LAC ALIESTE,CA,50.4272,-61.7136,15600,43,4244640,1980,2013,34,0,1981,1995,15,0,1980,2013,34,342.846,10.81199146,693.0763754
5101020,5,1,102102A,PASCOE RIVER,GARRAWAY CREEK JUNCTION,AU,-12.6608,143.0477,1313,40.409,-,1970,2011,42,3.2,1970,1995,26,7.31,1970,2011,42,39.701,1.252010736,953.5496847
5101071,5,1,105107A,NORMANBY RIVER,KALPOWAR CROSSING,AU,-14.917,144.211,12930,19.51,5101070,2005,2011,7,0,,,,,2005,2011,7,90.599,2.857130064,220.9690691
5101080,5,1,108002A,DAINTREE RIVER,BAIRDS,AU,-16.1807,145.2808,911,25,-,1968,2008,41,1.96,1968,1995,28,2.75,1968,2008,41,26.34,0.83065824,911.8092645
5101114,5,1,112101B,SOUTH JOHNSTONE RIVER,CENTRAL MILL,AU,-17.6078,145.9878,401,2.89,-,1916,1974,59,0,,,,,1916,1974,59,25.44,0.80227584,2000.68788
5101118,5,1,112101B,SOUTH JOHNSTONE RIVER,UPSTREAM CENTRAL MILL,AU,-17.61,145.978,400,4.392,5101114,1916,2012,97,0.44,1916,1995,80,0.31,1916,2012,97,25.839,0.814858704,2037.14676
5101119,5,1,112004A,NORTH JOHNSTONE RIVER,TUNG OIL,AU,-17.547,145.932,925,9.04,5101117,1966,2012,47,2.51,,,,,1966,2012,47,57.202,1.803922272,1950.18624
5101130,5,1,113006A,TULLY RIVER,EURAMO,AU,-18.003,145.931,1450,0.1,-,1972,2012,41,1.15,1972,1993,22,1.15,1972,2012,41,97.92,3.08800512,2129.658703
5101161,5,1,116001E,HERBERT RIVER,INGHAM,AU,-18.6361,146.1419,8581,1.61,5101162,1915,2012,98,1.28,1915,1996,82,0.61,1915,2012,98,111.259,3.508663824,408.8875217
5101162,5,1,116001F,HERBERT RIVER,INGHAM,AU,-18.637,146.142,8585,1.61,-,2009,2011,3,0,,,,,2009,2011,3,183.992,5.802371712,675.8732338
5101200,5,1,120006B,BURDEKIN,CLARE,AU,-19.765,147.24,129900,9.4,5101201,1950,2012,63,0.13,1950,1994,45,14.37,1950,2012,63,309.809,9.770136624,75.21275307
5101201,5,1,120001A,BURDEKIN,HOME HILL,AU,-19.6456,147.3958,129939,2.61,-,1921,2001,81,0.05,1921,1956,36,15.02,1921,2001,81,134.039,4.227053904,32.53106384
5101202,5,1,120006B,BURDEKIN,CLARE,AU,-19.7969,147.233,129712,11.6,5101200,1950,1976,27,0,,,,,1950,1976,27,356.718,11.24945885,86.72643123
5101253,5,1,125007A,PIONEER RIVER,MIRANI WEIR T/W,AU,-21.1783,148.8286,1211,34.267,5101251,1977,2012,36,4,,,,,1977,2012,36,23.08,0.72785088,601.0329315
5101301,5,1,130005A,FITZROY,THE GAP,AU,-23.089,150.1071,135757,8.869,5101300,1964,2012,49,0.15,1964,1996,33,10.77,1964,2012,49,164.77,5.19618672,38.27564487
5101381,5,1,138001A,MARY RIVER (AU-QUEENSLAND),MIVA,AU,-25.9533,152.4957,4755,16.87,5101390,1910,2010,101,0,1910,1995,86,0.48,1910,2010,101,37.148,1.171499328,246.3720984
5101390,5,1,138014A,MARY RIVER (AU-QUEENSLAND),HOME PARK,AU,-25.7683,152.5274,6845,4.09,5101382,1982,2011,30,0,,,,,1982,2011,30,38.308,1.208081088,176.4910282
5101470,5,1,136001B,BURNETT RIVER,WALLA,AU,-25.134,151.98,32455,16.427,-,1965,1998,34,20.03,,,,,1965,1998,34,27.598,0.870330528,26.81653144
5101500,5,1,143001C,BRISBANE RIVER,SAVAGES CROSSING,AU,-27.44,152.668,10170,18.481,5101501,1958,2012,55,4.64,,,,,1958,2012,55,28.541,0.900068976,88.50235752
5101502,5,1,143001A,BRISBANE RIVER,LOWOOD,AU,-27.4711,152.5922,10055,23.67,5101500,1909,1950,42,0,,,,,1909,1950,42,21.108,0.665661888,66.20207737
5101503,5,1,143001B,BRISBANE RIVER,VERNOR,AU,-27.4675,152.5992,10056,21.83,5101502,1950,1958,9,0,,,,,1950,1958,9,46.926,1.479858336,147.1617279
5109151,5,9,915003A,FLINDERS RIVER,WALKERS BEND,AU,-18.165,140.857,106300,2.097,-,1969,2012,44,3.09,,,,,1969,2012,44,109.433,3.451079088,32.46546649
5109161,5,9,916001B,NORMAN RIVER,GLENORE WEIR,AU,-17.862,141.13,39360,-4.359,-,1974,2012,39,0.53,,,,,1974,2012,39,57.669,1.818649584,46.20552805
5109170,5,9,917001D,GILBERT RIVER,ROCKFIELDS,AU,-18.2038,142.8751,10987,168,-,1967,2012,46,4.74,1967,1995,29,49.28,1967,2012,46,42.344,1.335360384,121.5400368
5109200,5,9,919009A,MITCHELL RIVER (N. AU),KOOLATAH,AU,-15.9509,142.3772,45872,19.71,-,1972,2012,41,2.45,1972,1995,24,22.7,1972,2012,41,229.913,7.250536368,158.0601754
5109201,5,9,919009B,MITCHELL RIVER (N. AU),DUNBAR,AU,-15.9411,142.3742,45000,19.71,5109200,2009,2011,3,0,,,,,2009,2011,3,387.981,12.23536882,271.8970848
5109210,5,9,913007B,LEICHHARDT RIVER,FLORAVILLE HOMESTEAD,AU,-18.257,139.883,23660,9.819,-,1984,2011,28,10.92,,,,,1984,2011,28,69.759,2.199919824,92.98055047
5109220,5,9,918003A,STAATEN RIVER,DORUNDA,AU,-16.535,142.06,6789,22.405,-,1990,2012,23,5.45,,,,,1990,2012,23,60.792,1.917136512,282.3886452
5109230,5,9,927001B,JARDINE RIVER,MONUMENT,AU,-11.153,142.352,2421,4.355,-,1978,2012,35,4.54,,,,,1978,2012,35,65.4,2.0624544,851.9018587
5109240,5,9,922001A,ARCHER RIVER,TELEGRAPH CROSSING,AU,-13.418,142.92,2928,128.757,-,1968,2012,45,7.54,,,,,1968,2012,45,50.93,1.60612848,548.5411475
5109251,5,9,925001A,WENLOCK RIVER,MORETON,AU,-12.457,142.638,3265,15.115,-,1958,2011,54,1.02,,,,,1958,2011,54,39.937,1.259453232,385.7437158
5202030,5,2,203004,RICHMOND RIVER,CASINO,AU,-28.865,153.0553,1790,5.02,-,1943,2012,70,0.43,1943,2001,59,0,1943,2012,70,19.012,0.599562432,334.9510793
5202036,5,2,203014,WILSONS RIVER,ELTHAM,AU,-28.757,153.394,223,7.46,5202035,1957,2011,55,1.01,,,,,1957,2011,55,5.853,0.184580208,827.7139372
5202044,5,2,204007,CLARENCE RIVER,LILYDALE (NEWBOLD CROSSING),AU,-29.5082,152.6832,16690,9.992,-,1922,2011,90,4.1,1922,2001,80,3.98,1922,2011,90,106.17,3.34817712,200.6097735
5202070,5,2,206011,MACLEAY RIVER,TURNERS FLAT,AU,-31.0082,152.7126,9980,11.851,-,1945,2011,67,9.72,1945,2001,57,10.75,1945,2011,67,46.321,1.460779056,146.3706469
5202075,5,2,207004,HASTINGS RIVER,ELLENBOROUGH (KINDEE BRIDGE),AU,-31.4225,152.4708,1610,67.4,-,1945,2008,64,7.03,1945,2001,57,6.42,1945,2008,64,20.388,0.642955968,399.3515329
5202080,5,2,208004,MANNING RIVER,KILLAWARRA,AU,-31.9175,152.3117,6560,8.74,-,1945,2011,67,4.05,1945,2001,57,3.71,1945,2011,67,55.373,1.746242928,266.1955683
