Name,Longitude,Latitude
Standerton - 0441416B5,29.23,-26.93
Twee Rivieren - 0461208 4,20.61,-26.47
Lichtenburg - 0472278 0,26.17,-26.13
Ventersdorp - 0473559A3,26.82,-26.32
Jhb Bot Tuine - 0475879 0,28,-26.15
Johannesburg Int Wo - 0476399 0,28.23,-26.15
Springs - 0476762A3,28.43,-26.2
Ermelo Wo - 0479870 X,29.98,-26.5
Tosca - 0504833 6,23.97,-25.88
Mafikeng Wo - 0508047 0,25.54,-25.81
Rustenburg - 0511399 X,27.23,-25.65
Grand Central - 0513239 0,28.13,-25.98
Pretoria Eendracht - 0513314C9,28.18,-25.74
Pretoria Unisa - 0513346 0,28.2,-25.77
Wonderboom Airport - 0513369A5,28.22,-25.66
Irene Wo - 0513385A2,28.21,-25.91
Bolepi House - 0513439A1,28.25,-25.82
Witbank - 0515320 8,29.19,-25.84
Belfast - 0517041 2,30.03,-25.69
Komatidraai - 0520691 2,31.9,-25.52
Pilanesberg - 0548375A4,27.23,-25.26
Oudestad - 0552581 7,29.33,-25.18
Lydenburg - 0554816A7,30.48,-25.11
Nelspruit - 0555750 9,30.92,-25.5
Kruger Mpumalanga Int. Air. - 0556173 6,31.1,-25.39
Madikwe Game Reserve - 0585341 8,26.19,-24.69
Thabazimbi - 0587725CX,27.42,-24.58
Warmbad Towoomba - 0589594 1,28.33,-24.9
Graskop Aws - 0594626B9,30.85,-24.93
Potgietersrus - 0633882 7,29.01,-24.21
Hoedspruit - 0638081 1,31.05,-24.35
Ellisras - 0674341 8,27.7,-23.68
Marken - 0675666 2,28.38,-23.6
Pietersburg Wo - 0677802BX,29.45,-23.87
Tzaneen-Westfalia Estate - 0679194 5,30.12,-23.74
Phalaborwa Airport Aws - 0681266D1,31.15,-23.94
Thohoyandou Wo - 0723664 6,30.38,-23.09
,28.234,-25.891
,28.175,-25.918
