Name,SymbolID,Status2,Longitude,Latitude
Crescent_City_CA,0,Operational,-124.183,41.745
Culebra_Is_PR,0,Operational,-65.3028,18.3008
Culebra_Is_PR,0,Operational,-65.3028,18.3008
Clearwater_Beach_FL,0,Operational,-82.832,27.978
Clearwater_Beach_FL,0,Operational,-82.832,27.978
"Cutler Farris Wharf, ME",0,Operational,-67.21,44.656667
"Cutler Farris Wharf, ME",0,Operational,-67.21,44.656667
Dakar,0,Operational,-17.42,14.676
"Deshaies, Guadeloupe",0,Operational,-61.79591,16.30529
"La Desirade Island, Guadeloupe",0,Operational,-61.07248,16.30289
Dauphin_Island_AL,1,Not operational,-88.1,30.2
Dielette,0,Operational,-1.86,49.55
Dielette 2,0,Operational,-1.86,49.55
Duck_Pier_NC,0,Operational,-75.7466,36.1833
Dutch_Hbr_Unalaska,0,Operational,-166.5333,53.88333
Dutch_Hbr_Unalaska,0,Operational,-166.5333,53.88333
East_Bank_1_LA,1,Not operational,-90.368,30.05
Elfin_Cove_AK,0,Operational,-136.3433,58.1933
Elfin_Cove_AK,1,Not operational,-136.3433,58.1933
El Porvenir,0,Operational,-78.94918,9.55827
Ensenada,1,Not operational,-116.6181,31.84836
East_Port_ME,1,Not operational,-66.985,44.9033
East_Port_ME,0,Operational,-66.985,44.9033
Puerto Estrella,1,Not operational,-71.313611,12.355278
Fajardo_PR,1,Not operational,-65.6311,18.3336
Fernadina_Beach_FL,0,Operational,-81.465,30.672
Fernadina_Beach_FL,0,Operational,-81.465,30.672
Ferrol1,0,Operational,-8.32582,43.46285
Ferrol2,0,Operational,-8.24851,43.47618
Fishguard,0,Operational,-4.98,52.01
Fort_Myers_FL,0,Operational,-81.87,26.65
Fort_Myers_FL,0,Operational,-81.87,26.65
Fort_Pulaski_GA,0,Operational,-80.902,32.033
Fort_Pulaski_GA,0,Operational,-80.902,32.033
"Ft_Point,San_Fran",0,Operational,-122.465,37.807
"Ft_Point,San_Fran",0,Operational,-122.465,37.807
"Tern,Fr._Frigate_US",1,Not operational,-166.283,23.867
Frontera,1,Not operational,-94.27,18.15
"Fort-de-France, Martinique",0,Operational,-61.063333,14.601667
"Fort-de-France, Martinique2",0,Operational,-61.063333,14.601667
Fuerteventura,0,Operational,-13.85822,28.49251
Gandia,0,Operational,-0.15139,38.99521
George Town,0,Operational,-81.383484,19.295065
Gibraltar (tsunami),1,Not operational,-5.35,36.13
Gibraltar,0,Operational,-5.35,36.13
Gijon,0,Operational,-5.69835,43.55803
"Grand Isle, LA",0,Operational,-89.9567,29.2633
Galveston_Pier_TX,0,Operational,-94.793,29.31
Halifax,1,Not operational,-63.58,44.67
"Oil Platform Harvest, CA",1,Not operational,-120.66666,34.46666
Henslung Cove,1,Not operational,-133,54.18333
L'Herbaudière,0,Operational,-2.299,47.026
L'Herbaudière 2,0,Operational,-2.29889,47.02495
Heysham,0,Operational,-2.92,54.03
ElHierro,0,Operational,-17.90163,27.78408
"Hilo,Hawaii",1,Not operational,-155.058,19.733
"Hilo, Hawaii",1,Not operational,-155.058,19.733
Hinkley Point,0,Operational,-3.13,51.21
Holyhead (tsunami),0,Operational,-4.633796,53.310505
Holyhead2,0,Operational,-4.62,53.31
"Honolulu,Oahu",0,Operational,-157.867,21.307
"Honolulu, Oahu",1,Not operational,-157.867,21.307
Hawaii - TEST,1,Not operational,-157.815723,21.297978
Huatulco,0,Operational,-96.1168889,15.7500556
Huatulco,0,Operational,-96.1168889,15.7500556
Huelva5,0,Operational,-6.83369,37.13202
Ile d'Aix,0,Operational,-1.17424,46.0074
Isla Clarion,0,Operational,-114.7227,18.5338
"Ile Royale, Kourou, French Guiana",0,Operational,-52.586944,5.284444
"Ile Royale, Kourou, French Guiana 2",0,Operational,-52.586944,5.284444
Ilfracombe,0,Operational,-4.11,51.21
Immingham,0,Operational,-0.19,53.63
"Isla Mujeres, Q. R.",1,Not operational,-86.716667,21.21666
Isla Naval,0,Operational,-75.750278,10.180556
Isla Naval,1,Not operational,-75.750278,10.180556
Isabel Segunda,0,Operational,-65.435,18.150278
Jacmel,1,Not operational,-72.535388,18.230958
Jersey,0,Operational,-2.12,49.18
Johnston_US,0,Operational,-169.5233,16.739
"Kahului, Maui",0,Operational,-156.472,20.898
"Kahului, Maui",0,Operational,-156.472,20.898
"Kaumalapau, Hawaii",1,Not operational,-156.9,20.78
"Kawaihae, Hawaii",0,Operational,-155.832,20.036
"Kawaihae, Hawaii",0,Operational,-155.832,20.036
Kinlochbervie,0,Operational,-5.05,58.46
Kish Bank Lighthouse,1,Not operational,-5.92167,53.31167
"Kodiak Island, AK",0,Operational,-152.512,57.7317
"Kodiak Island, AK",0,Operational,-152.512,57.7317
Key_West_FL,0,Operational,-81.808,24.553
Key_West_FL,1,Not operational,-81.808,24.553
LaGomera,0,Operational,-17.10831,28.08777
La_Jolla_CA,1,Not operational,-117.258,32.867
La_Jolla_CA,0,Operational,-117.258,32.867
La Libertad,0,Operational,-89.319,13.4851
LameshurBayStJohnVI,0,Operational,-64.7242,18.3182
LameshurBayStJohnVI,0,Operational,-64.7242,18.3182
Langosteira,0,Operational,-8.53012,43.34653
LaPalma,0,Operational,-17.76795,28.6778
La Rochelle-Pallice,0,Operational,-1.22065,46.1585
La Rochelle-Pallice 2,0,Operational,-1.22065,46.1585
LasPalmas2,0,Operational,-15.41181,28.14056
La_Union_SV,0,Operational,-87.8181,13.3093
Lazaro Cardenas,0,Operational,-102.178053,17.939856
Le Conquet,0,Operational,-4.78,48.36
Le Conquet 2,0,Operational,-4.78,48.36
Le Crouesty,0,Operational,-2.89515,47.5427
Leith,0,Operational,-3.18,55.99
Le Robert,1,Not operational,-60.9379306,14.6768944
Lerwick (tsunami),1,Not operational,-1.145192,60.155316
Lerwick2,0,Operational,-1.145192,60.155316
Les Sables d'Olonne,0,Operational,-1.79373,46.4975
Les Sables d'Olonne 2,0,Operational,-1.79373,46.4975
Lagos,1,Not operational,-8.66683777,37.09882555
Limetree_VI,0,Operational,-64.7538,17.6947
Limetree_VI,0,Operational,-64.7538,17.6947
Limon,0,Operational,-83.0203,9.9886
Liverpool,0,Operational,-3.02,53.45
Llandudno,0,Operational,-3.83,53.33
Los_Angeles_CA,0,Operational,-118.272,33.719
Los_Angeles_CA,1,Not operational,-118.272,33.719
Los Sueños,1,Not operational,-84.6665,9.6502
La Paz,1,Not operational,-110.3,24.15
Langara_Point_BC (Henslung Cove),0,Operational,-133.1,54.2
Loreto,1,Not operational,-111.3075,25.81
Lymington,0,Operational,-1.50708,50.74031
"Puerto Madero, Chis.",0,Operational,-92.401175,14.712353
Magueyes_Island_PR,0,Operational,-67.0464,17.9701
Magueyes_Island_PR,0,Operational,-67.0464,17.9701
"Makai Pier, Waimanalo, Hawaii",1,Not operational,-157.669,21.32
Malaga,0,Operational,-4.41709,36.71184
Malin Head Peninsular,0,Operational,-7.33432,55.37168
Malpelo,1,Not operational,-81.6042,4.0024
Malpelo,0,Operational,-81.6042,4.0024
Manzanillo_MX,1,Not operational,-104.29805,19.06361
Marin,0,Operational,-8.69108,42.40612
Mayaguez_PR,0,Operational,-67.1588,18.2176
Mazatlan,1,Not operational,-106.4239,23.181397
Melilla,0,Operational,-2.92853,35.29061
Milford Haven,0,Operational,-5.05,51.71
Midway,0,Operational,-177.356,28.207
Midway,0,Operational,-177.356,28.207
Millport,0,Operational,-4.91,55.75
Mimizan,0,Operational,-1.2951,44.2107
Mimizan 2,1,Not operational,-1.2951,44.2107
Mindelo,1,Not operational,-25.0009167,16.8880278
Mona_Island_PR,0,Operational,-67.9383,18.09
Mona_Island_PR,0,Operational,-67.9383,18.09
Monterey,0,Operational,-121.8867,36.605
Monterey,0,Operational,-121.8867,36.605
"Montauk, NY",0,Operational,-71.96,41.0483
"Montauk, NY",0,Operational,-71.96,41.0483
Motril2,0,Operational,-3.5236,36.72024
Marigot,1,Not operational,-61.283093,15.547938
Mumbles,0,Operational,-3.98,51.57
Nain,0,Operational,-61.68,56.55
