Name,Country,Latitude,Longitude,Altitude,Type,WMO,Transmission,Air temperature,Soil temperature,Wind,Rain,Relative humidity,Barometric pressure,Solar irradiance,Leaf wetness,Fog precipitation,Soil moisture,Sunshine duration,Dew point,Wet bulb,First data,Status/Last data,Status2
Omatako Ranch,Namibia,-21.50940,16.72910,1496,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,12/8/2010,active,Operational
Omatjenne,Namibia,-20.44278,16.49333,1376,MCS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,2/3/2012,active,Operational
Oshaambelo,Namibia,-17.84286,14.77008,1114,MCS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,2/24/2012,active,Operational
Rooisand,Namibia,-23.29453,16.11467,1176,MCS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,3/24/2011,active,Operational
Sachinga,Namibia,-17.67367,24.03189,982,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,7/17/2013,active,Operational
Salt Works,Namibia,-23.02352,14.46317,5,Gobabeb,,GPRS,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,11/20/2017,active,Operational
Sandveld,Namibia,-22.04450,19.13210,1527,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,1/11/2011,active,Operational
Sonop Research Station,Namibia,-19.01010,18.90390,1218,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,10/9/2010,inactive,Not operational
Sophies Hoogte,Namibia,-23.00681,14.89087,334,Gobabeb,,GPRS,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,8/7/2014,active,Operational
Station 8,Namibia,-23.26530,15.05627,487,Gobabeb,,GPRS,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,8/7/2014,active,Operational
Tsumis,Namibia,-23.72978,17.19386,1376,MCS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,5/25/2012,active,Operational
Tsumkwe Breeding Station,Namibia,-19.61560,20.44200,1153,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,8/5/2011,active,Operational
Vogelfederberg,Namibia,-23.09797,15.02903,501,Gobabeb,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,8/11/2014,active,Operational
Waterberg,Namibia,-20.39710,17.35290,1575,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,9/9/2011,active,Operational
Windhoek (NBRI),Namibia,-22.57070,17.09570,1700,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,10/1/2010,active,Operational
Windhoek (Satellite),Namibia,-22.57238,17.09481,1737,CTS,,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,7/9/2014,active,Operational
Wlotzkasbaken,Namibia,-22.31490,14.46210,55,CTS,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,6/10/2011,active,Operational
Alexanderbay Lichen Field,South Africa,-28.62496,16.50674,80,Adcon/OTT,,GPRS,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,10/1/2015,active,Operational
Alpha,South Africa,-26.76178,20.62504,872,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/3/2015,active,Operational
Eksteenfontein,South Africa,-28.83653,17.29039,606,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/5/2015,active,Operational
Koeroegabvlakte,South Africa,-28.23590,17.02557,641,Adcon/OTT,,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,3/8/2015,active,Operational
Moedverloor,South Africa,-31.47273,18.44542,147,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,10/6/2016,active,Operational
Numees,South Africa,-28.31426,16.96585,391,Adcon/OTT,,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,3/6/2015,active,Operational
Paulshoek,South Africa,-30.39500,18.28118,996,Adcon/OTT,,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,10/11/2015,active,Operational
Ratelgat,South Africa,-31.28616,18.60281,209,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,10/10/2015,inactive,Not operational
Soebatsfontein,South Africa,-30.18294,17.55062,244,Adcon/OTT,,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,10/11/2015,active,Operational
Vandersterrberg,South Africa,-28.47126,17.11159,1063,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,3/7/2015,active,Operational
Verlorenvlei,South Africa,-32.59810,18.68285,53,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,9/24/2015,active,Operational
Yellow Dune,South Africa,-28.61105,16.65436,161,Adcon/OTT,,GPRS,No,No,No,No,No,No,No,No,No,No,No,No,No,3/9/2015,active,Operational
Chadiza,Zambia,-14.06000,32.43200,1056,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,6/29/2015,active,Operational
Copperbelt University,Zambia,-12.80610,28.23740,1220,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,4/10/2015,active,Operational
Dongwe,Zambia,-14.01259,24.02188,1071,Adcon/OTT,,SAT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,5/14/2015,inactive,Not operational
Kabwe Mulungushi,Zambia,-14.29257,28.56632,1142,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10/8/2013,active,Operational
Kafue National Park-Tatayoyo,Zambia,-14.90153,24.43200,1231,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,4/6/2015,inactive,Not operational
Kalabo,Zambia,-14.98895,22.68175,1018,Adcon/OTT,67625,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,12/2/2013,active,Operational
Kalomo,Zambia,-16.96000,26.47500,1274,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,2/24/2015,inactive,Not operational
Kasempa,Zambia,-13.45696,25.83370,1227,Adcon/OTT,67541,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,11/26/2013,active,Operational
Luampa,Zambia,-15.14233,24.49237,1130,Adcon/OTT,,GPRS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,4/5/2015,inactive,Not operational
